timestamp,protocol,src_ip,dst_ip,src_port,dst_port,length
2025-03-17 19:30:05.080561,UDP,172.20.1.181,172.20.1.1,65043,53,78
2025-03-17 19:30:05.100361,UDP,172.20.1.1,172.20.1.181,53,65043,206
2025-03-17 19:30:13.758128,UDP,172.20.1.181,172.20.1.1,61035,53,81
2025-03-17 19:30:13.758375,UDP,172.20.1.181,172.20.1.1,54605,53,81
2025-03-17 19:30:13.776960,UDP,172.20.1.1,172.20.1.181,53,61035,215
2025-03-17 19:30:13.778136,UDP,172.20.1.181,172.20.1.1,61103,53,84
2025-03-17 19:30:13.780911,UDP,172.20.1.1,172.20.1.181,53,54605,187
2025-03-17 19:30:13.793045,UDP,172.20.1.1,172.20.1.181,53,61103,144
2025-03-17 19:30:20.421338,UDP,172.20.1.181,172.20.1.1,56673,53,86
2025-03-17 19:30:20.421585,UDP,172.20.1.181,172.20.1.1,51552,53,86
2025-03-17 19:30:20.432450,UDP,172.20.1.1,172.20.1.181,53,56673,243
2025-03-17 19:30:20.433460,UDP,172.20.1.181,172.20.1.1,55086,53,96
2025-03-17 19:30:20.444304,UDP,172.20.1.1,172.20.1.181,53,51552,215
2025-03-17 19:30:20.444307,UDP,172.20.1.1,172.20.1.181,53,55086,156
2025-03-17 19:30:28.994890,ARP,,,,,42
2025-03-17 19:30:28.997714,ARP,,,,,56
