timestamp,protocol,src_ip,dst_ip,src_port,dst_port,length
2025-03-17 20:30:25.067087,TCP,172.20.1.181,52.35.150.14,56925,443,78
2025-03-17 20:30:25.159026,HTTPS,172.20.1.181,162.159.133.234,56921,443,120
2025-03-17 20:30:25.170386,TCP,162.159.133.234,172.20.1.181,443,56921,66
2025-03-17 20:30:25.262314,HTTPS,162.159.133.234,172.20.1.181,443,56921,111
2025-03-17 20:30:25.262426,TCP,172.20.1.181,162.159.133.234,56921,443,66
2025-03-17 20:30:25.322439,TCP,172.20.1.181,52.35.150.14,56926,443,78
2025-03-17 20:30:25.441868,TCP,172.20.1.181,17.248.192.2,59121,443,78
2025-03-17 20:30:25.451417,TCP,17.248.192.2,172.20.1.181,443,59121,74
2025-03-17 20:30:25.452454,TCP,172.20.1.181,17.248.192.2,59121,443,66
2025-03-17 20:30:25.452461,HTTPS,172.20.1.181,17.248.192.2,59121,443,583
2025-03-17 20:30:25.464440,TCP,17.248.192.2,172.20.1.181,443,59121,66
2025-03-17 20:30:25.464445,HTTPS,17.248.192.2,172.20.1.181,443,59121,1514
2025-03-17 20:30:25.464449,TCP,17.248.192.2,172.20.1.181,443,59121,1514
2025-03-17 20:30:25.464452,HTTPS,17.248.192.2,172.20.1.181,443,59121,756
2025-03-17 20:30:25.465883,TCP,172.20.1.181,17.248.192.2,59121,443,66
2025-03-17 20:30:25.481039,HTTPS,172.20.1.181,17.248.192.2,59121,443,146
2025-03-17 20:30:25.491690,HTTPS,17.248.192.2,172.20.1.181,443,59121,369
2025-03-17 20:30:25.491693,HTTPS,17.248.192.2,172.20.1.181,443,59121,431
2025-03-17 20:30:25.492024,TCP,172.20.1.181,17.248.192.2,59121,443,66
2025-03-17 20:30:25.494589,HTTPS,172.20.1.181,17.248.192.2,59121,443,1403
2025-03-17 20:30:25.494935,HTTPS,172.20.1.181,17.248.192.2,59121,443,97
2025-03-17 20:30:25.495018,HTTPS,172.20.1.181,17.248.192.2,59121,443,958
2025-03-17 20:30:25.495103,HTTPS,172.20.1.181,17.248.192.2,59121,443,97
2025-03-17 20:30:25.504823,HTTPS,17.248.192.2,172.20.1.181,443,59121,97
2025-03-17 20:30:25.505194,TCP,172.20.1.181,17.248.192.2,59121,443,66
2025-03-17 20:30:25.507259,TCP,17.248.192.2,172.20.1.181,443,59121,66
2025-03-17 20:30:25.507263,HTTPS,17.248.192.2,172.20.1.181,443,59121,101
2025-03-17 20:30:25.507429,TCP,172.20.1.181,17.248.192.2,59121,443,66
2025-03-17 20:30:25.528917,TCP,172.20.1.181,17.248.192.2,59121,443,97
2025-03-17 20:30:25.539256,TCP,17.248.192.2,172.20.1.181,443,59121,78
2025-03-17 20:30:25.576769,HTTPS,17.248.192.2,172.20.1.181,443,59121,1514
2025-03-17 20:30:25.576773,HTTPS,17.248.192.2,172.20.1.181,443,59121,345
2025-03-17 20:30:25.576776,HTTPS,17.248.192.2,172.20.1.181,443,59121,97
2025-03-17 20:30:25.577066,TCP,172.20.1.181,17.248.192.2,59121,443,66
2025-03-17 20:30:25.695408,TCP,172.20.1.181,17.248.192.2,59122,443,78
