timestamp,protocol,src_ip,dst_ip,src_port,dst_port,length
2025-04-24 15:09:35.694409,UDP,149.248.20.104,172.20.6.14,44998,3074,428
2025-04-24 15:09:35.712165,UDP,149.248.20.104,172.20.6.14,44998,3074,312
2025-04-24 15:09:35.726211,UDP,172.20.6.14,149.248.20.104,3074,44998,179
2025-04-24 15:09:35.727932,UDP,149.248.20.104,172.20.6.14,44998,3074,431
2025-04-24 15:09:35.742963,UDP,149.248.20.104,172.20.6.14,44998,3074,345
2025-04-24 15:09:35.759636,UDP,172.20.6.14,149.248.20.104,3074,44998,179
2025-04-24 15:09:35.760028,UDP,149.248.20.104,172.20.6.14,44998,3074,513
2025-04-24 15:09:35.773938,UDP,149.248.20.104,172.20.6.14,44998,3074,388
2025-04-24 15:09:35.791442,UDP,149.248.20.104,172.20.6.14,44998,3074,533
2025-04-24 15:09:35.792721,UDP,172.20.6.14,149.248.20.104,3074,44998,182
2025-04-24 15:09:35.806919,UDP,149.248.20.104,172.20.6.14,44998,3074,392
2025-04-24 15:09:35.822459,UDP,149.248.20.104,172.20.6.14,44998,3074,468
2025-04-24 15:09:35.826117,UDP,172.20.6.14,149.248.20.104,3074,44998,187
2025-04-24 15:09:35.838763,UDP,149.248.20.104,172.20.6.14,44998,3074,394
2025-04-24 15:09:35.854963,UDP,149.248.20.104,172.20.6.14,44998,3074,484
2025-04-24 15:09:35.859599,UDP,172.20.6.14,149.248.20.104,3074,44998,187
2025-04-24 15:09:35.870611,UDP,149.248.20.104,172.20.6.14,44998,3074,324
2025-04-24 15:09:35.886632,UDP,149.248.20.104,172.20.6.14,44998,3074,492
2025-04-24 15:09:35.893039,UDP,172.20.6.14,149.248.20.104,3074,44998,183
2025-04-24 15:09:35.902713,UDP,149.248.20.104,172.20.6.14,44998,3074,348
2025-04-24 15:09:35.917966,UDP,149.248.20.104,172.20.6.14,44998,3074,444
2025-04-24 15:09:35.926181,UDP,172.20.6.14,149.248.20.104,3074,44998,180
2025-04-24 15:09:35.935055,UDP,149.248.20.104,172.20.6.14,44998,3074,347
2025-04-24 15:09:35.950014,UDP,149.248.20.104,172.20.6.14,44998,3074,452
2025-04-24 15:09:35.959707,UDP,172.20.6.14,149.248.20.104,3074,44998,184
2025-04-24 15:09:35.967224,UDP,149.248.20.104,172.20.6.14,44998,3074,379
2025-04-24 15:09:35.982146,UDP,149.248.20.104,172.20.6.14,44998,3074,481
2025-04-24 15:09:35.992823,UDP,172.20.6.14,149.248.20.104,3074,44998,183
2025-04-24 15:09:35.999274,UDP,149.248.20.104,172.20.6.14,44998,3074,412
2025-04-24 15:09:36.014203,UDP,149.248.20.104,172.20.6.14,44998,3074,508
2025-04-24 15:09:36.026081,UDP,172.20.6.14,149.248.20.104,3074,44998,179
2025-04-24 15:09:36.030512,UDP,149.248.20.104,172.20.6.14,44998,3074,345
2025-04-24 15:09:36.047134,UDP,149.248.20.104,172.20.6.14,44998,3074,472
2025-04-24 15:09:36.059579,UDP,172.20.6.14,149.248.20.104,3074,44998,183
2025-04-24 15:09:36.062278,UDP,149.248.20.104,172.20.6.14,44998,3074,367
2025-04-24 15:09:36.079386,UDP,149.248.20.104,172.20.6.14,44998,3074,447
2025-04-24 15:09:36.092966,UDP,172.20.6.14,149.248.20.104,3074,44998,183
2025-04-24 15:09:36.096046,UDP,149.248.20.104,172.20.6.14,44998,3074,327
2025-04-24 15:09:36.112799,UDP,149.248.20.104,172.20.6.14,44998,3074,463
2025-04-24 15:09:36.126201,UDP,172.20.6.14,149.248.20.104,3074,44998,183
2025-04-24 15:09:36.127166,UDP,149.248.20.104,172.20.6.14,44998,3074,397
2025-04-24 15:09:36.144375,UDP,149.248.20.104,172.20.6.14,44998,3074,579
2025-04-24 15:09:36.158298,UDP,149.248.20.104,172.20.6.14,44998,3074,414
2025-04-24 15:09:36.159599,UDP,172.20.6.14,149.248.20.104,3074,44998,187
2025-04-24 15:09:36.176046,UDP,149.248.20.104,172.20.6.14,44998,3074,647
2025-04-24 15:09:36.190717,UDP,149.248.20.104,172.20.6.14,44998,3074,410
2025-04-24 15:09:36.192821,UDP,172.20.6.14,149.248.20.104,3074,44998,183
2025-04-24 15:09:36.201152,UDP,172.20.6.14,185.34.107.128,3074,3074,71
2025-04-24 15:09:36.206864,UDP,149.248.20.104,172.20.6.14,44998,3074,797
2025-04-24 15:09:36.221837,UDP,149.248.20.104,172.20.6.14,44998,3074,514
2025-04-24 15:09:36.226169,UDP,172.20.6.14,149.248.20.104,3074,44998,183
2025-04-24 15:09:36.238924,UDP,149.248.20.104,172.20.6.14,44998,3074,711
2025-04-24 15:09:36.254956,UDP,149.248.20.104,172.20.6.14,44998,3074,479
